,DATA_159
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-31,0
2015-11-30,0
2015-12-31,0
2016-01-31,0
2016-02-29,0
2016-03-31,1940
2016-04-30,5053
2016-05-31,6037
2016-06-30,4611
2016-07-31,12266
2016-08-31,11383
2016-09-30,36192
2016-10-31,17625
2016-11-30,15810
2016-12-31,23250
2017-01-31,14095
2017-02-28,17273
2017-03-31,38583
2017-04-30,9927
2017-05-31,8100
2017-06-30,9917
2017-07-31,1260
2017-08-31,0
2017-09-30,6371
2017-10-31,7035
2017-11-30,8865
2017-12-31,20748
2018-01-31,30387
2018-02-28,43540
2018-03-31,50501
2018-04-30,46851
2018-05-31,144
2018-06-30,54175
2018-07-31,31092
2018-08-31,79389
2018-09-30,81935
2018-10-31,91645
2018-11-30,118578
2018-12-31,99307
2019-01-31,137436
2019-02-28,122472
2019-03-31,199050
2019-04-30,164115
2019-05-31,161424
2019-06-30,175034
2019-07-31,207604
2019-08-31,201425
2019-09-30,198976
2019-10-31,185992
2019-11-30,204583
2019-12-31,184600
2020-01-31,120985
2020-02-29,158643
2020-03-31,86936
2020-04-30,54857
2020-05-31,48483
2020-06-30,14431
2020-07-31,65909
2020-08-31,27646
2020-09-30,16040
2020-10-31,13029
2020-11-30,3184
2020-12-31,984
2021-01-31,3163
2021-02-28,5737
2021-03-31,3631
2021-04-30,3304
2021-05-31,5420
2021-06-30,2293
2021-07-31,1235
2021-08-31,2470
2021-09-30,2114
2021-10-31,4861
2021-11-30,44687
2021-12-31,232213
2022-01-31,137244
2022-02-28,112146
2022-03-31,130153
2022-04-30,179240
2022-05-31,120966
2022-06-30,31586
2022-07-31,35956
2022-08-31,76975
2022-09-30,152722
2022-10-31,131062
2022-11-30,233289
2022-12-31,186469
2023-01-31,145602
2023-02-28,140358
2023-03-31,646912
2023-04-30,492345
2023-05-31,484272
2023-06-30,481344
2023-07-31,435968
2023-08-31,483420
2023-09-30,397952
2023-10-31,418482
2023-11-30,613749
2023-12-31,507650
2024-01-31,160162
2024-02-29,168430
2024-03-31,776295
2024-04-30,590814
2024-05-31,581126
2024-06-30,529478
2024-07-31,501364
2024-08-31,604275
2024-09-30,497440
2024-10-31,523102
2024-11-30,767186
2024-12-31,609180
