,MOC_79
2015-07-31,602
2015-08-31,873
2015-09-30,276
2015-10-31,267
2015-11-30,25
2015-12-31,126
2016-01-31,130
2016-02-29,288
2016-03-31,966
2016-04-30,199
2016-05-31,446
2016-06-30,3334
2016-07-31,777
2016-08-31,572
2016-09-30,264
2016-10-31,123
2016-11-30,179
2016-12-31,419
2017-01-31,135
2017-02-28,24
2017-03-31,272
2017-04-30,267
2017-05-31,1876
2017-06-30,7438
2017-07-31,696
2017-08-31,1650
2017-09-30,369
2017-10-31,102
2017-11-30,206
2017-12-31,63
2018-01-31,22
2018-02-28,165
2018-03-31,38
2018-04-30,160
2018-05-31,2638
2018-06-30,11272
2018-07-31,967
2018-08-31,1027
2018-09-30,705
2018-10-31,696
2018-11-30,190
2018-12-31,1210
2019-01-31,527
2019-02-28,497
2019-03-31,234
2019-04-30,612
2019-05-31,5171
2019-06-30,11971
2019-07-31,1614
2019-08-31,3618
2019-09-30,1243
2019-10-31,833
2019-11-30,367
2019-12-31,130
2020-01-31,44
2020-02-29,71
2020-03-31,11
2020-04-30,12
2020-05-31,1
2020-06-30,4
2020-07-31,3
2020-08-31,27
2020-09-30,13
2020-10-31,5
2020-11-30,5
2020-12-31,3
2021-01-31,0
2021-02-28,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-31,0
2021-08-31,0
2021-09-30,225
2021-10-31,0
2021-11-30,59
2021-12-31,70
2022-01-31,172
2022-02-28,296
2022-03-31,344
2022-04-30,65
2022-05-31,1427
2022-06-30,5932
2022-07-31,1497
2022-08-31,1047
2022-09-30,319
2022-10-31,877
2022-11-30,607
2022-12-31,1097
2023-01-31,653
2023-02-28,6933
2023-03-31,760
2023-04-30,1836
2023-05-31,15513
2023-06-30,32920
2023-07-31,3389
2023-08-31,8683
2023-09-30,2486
2023-10-31,1874
2023-11-30,1101
2023-12-31,358
2024-01-31,718
2024-02-29,8319
2024-03-31,913
2024-04-30,2203
2024-05-31,18616
2024-06-30,36212
2024-07-31,3898
2024-08-31,10854
2024-09-30,3108
2024-10-31,2343
2024-11-30,1376
2024-12-31,429
