,SMS_60
2015-07-31,96
2015-08-31,446
2015-09-30,389
2015-10-31,87
2015-11-30,130
2015-12-31,48
2016-01-31,8
2016-02-29,8
2016-03-31,31
2016-04-30,55
2016-05-31,96
2016-06-30,141
2016-07-31,251
2016-08-31,414
2016-09-30,126
2016-10-31,125
2016-11-30,93
2016-12-31,9
2017-01-31,16
2017-02-28,0
2017-03-31,361
2017-04-30,3
2017-05-31,745
2017-06-30,1134
2017-07-31,570
2017-08-31,368
2017-09-30,1023
2017-10-31,1547
2017-11-30,598
2017-12-31,506
2018-01-31,1
2018-02-28,599
2018-03-31,176
2018-04-30,1048
2018-05-31,1642
2018-06-30,1450
2018-07-31,1764
2018-08-31,1598
2018-09-30,2188
2018-10-31,549
2018-11-30,337
2018-12-31,241
2019-01-31,1154
2019-02-28,133
2019-03-31,176
2019-04-30,393
2019-05-31,4953
2019-06-30,2616
2019-07-31,2938
2019-08-31,3014
2019-09-30,3007
2019-10-31,2280
2019-11-30,622
2019-12-31,946
2020-01-31,1913
2020-02-29,1571
2020-03-31,603
2020-04-30,4
2020-05-31,3
2020-06-30,313
2020-07-31,488
2020-08-31,999
2020-09-30,468
2020-10-31,117
2020-11-30,593
2020-12-31,655
2021-01-31,890
2021-02-28,3
2021-03-31,169
2021-04-30,405
2021-05-31,709
2021-06-30,921
2021-07-31,1208
2021-08-31,48
2021-09-30,87
2021-10-31,251
2021-11-30,32
2021-12-31,494
2022-01-31,255
2022-02-28,78
2022-03-31,346
2022-04-30,450
2022-05-31,270
2022-06-30,2838
2022-07-31,2865
2022-08-31,3273
2022-09-30,2137
2022-10-31,5129
2022-11-30,408
2022-12-31,3170
2023-01-31,5094
2023-02-28,793
2023-03-31,572
2023-04-30,1179
2023-05-31,14859
2023-06-30,7194
2023-07-31,6170
2023-08-31,7234
2023-09-30,6014
2023-10-31,5130
2023-11-30,1866
2023-12-31,2602
2024-01-31,5603
2024-02-29,951
2024-03-31,686
2024-04-30,1415
2024-05-31,17831
2024-06-30,7913
2024-07-31,7095
2024-08-31,9042
2024-09-30,7518
2024-10-31,6412
2024-11-30,2332
2024-12-31,3122
